|,|__birthdate,|__college,|__first_name,|__full_name,|__gsis_id,|__gsis_name,|__height,|__last_name,|__number,|__position,|__profile_id,|__profile_url,|__status,|__team,|__weight,|__years_pro
00-0000045,5/18/1975,Michigan State,Flozell,Flozell Adams,00-0000045,F.Adams,79,Adams,,,2499355,http://www.nfl.com/player/flozelladams/2499355/pro...,,,338,13
00-0000108,12/09/1974,Louisville,David,David Akers,00-0000108,D.Akers,70,Akers,2,,2499370,http://www.nfl.com/player/davidakers/2499370/profi...,,,200,16
00-0000121,05/01/1971,North Carolina,Ethan,Ethan Albright,00-0000121,E.Albright,77,Albright,,,2499374,http://www.nfl.com/player/ethanalbright/2499374/pr...,,,260,16
00-0000551,09/06/1976,UCLA,Brendon,Brendon Ayanbadejo,00-0000551,B.Ayanbadejo,73,Ayanbadejo,,,2499480,http://www.nfl.com/player/brendonayanbadejo/249948...,,,225,10
00-0000585,6/22/1978,Georgia,Champ,Champ Bailey,00-0000585,C.Bailey,72,Bailey,27,,2499489,http://www.nfl.com/player/champbailey/2499489/prof...,,,192,16
00-0000741,04/07/1975,Virginia,Ronde,Ronde Barber,00-0000741,R.Barber,70,Barber,,,2499530,http://www.nfl.com/player/rondebarber/2499530/prof...,,,184,16
00-0000846,9/29/1977,Maryland,Eric,Eric Barton,00-0000846,E.Barton,75,Barton,,,2499561,http://www.nfl.com/player/ericbarton/2499561/profi...,,,245,12
00-0000865,12/05/1974,Eastern Michigan,Charlie,Charlie Batch,00-0000865,C.Batch,74,Batch,,,2499567,http://www.nfl.com/player/charliebatch/2499567/pro...,,,216,15
00-0001157,6/24/1972,Colorado,Mitch,Mitch Berger,00-0001157,M.Berger,76,Berger,,,2499635,http://www.nfl.com/player/mitchberger/2499635/prof...,,,228,16
00-0001176,8/15/1975,Notre Dame,Bertrand,Bertrand Berry,00-0001176,B.Berry,75,Berry,,,2499638,http://www.nfl.com/player/bertrandberry/2499638/pr...,,,254,12
00-0001231,3/13/1976,Oregon,Josh,Josh Bidwell,00-0001231,J.Bidwell,75,Bidwell,,,2499648,http://www.nfl.com/player/joshbidwell/2499648/prof...,,,228,11
00-0001255,02/06/1972,California,David,David Binn,00-0001255,D.Binn,75,Binn,,,2499654,http://www.nfl.com/player/davidbinn/2499654/profil...,,,228,18
00-0001263,7/23/1976,Harvard,Matt,Matt Birk,00-0001263,M.Birk,76,Birk,,,2499656,http://www.nfl.com/player/mattbirk/2499656/profile,,,310,15
00-0001388,5/22/1977,North Carolina,Dre',Dre' Bly,00-0001388,D.Bly,70,Bly,,,2499687,http://www.nfl.com/player/dre'bly/2499687/profile,,,188,12
00-0001477,7/31/1976,Louisiana-Monroe,Marty,Marty Booker,00-0001477,M.Booker,72,Booker,,,2499702,http://www.nfl.com/player/martybooker/2499702/prof...,,,205,11
00-0001545,08/01/1972,St. Cloud State,Todd,Todd Bouman,00-0001545,T.Bouman,74,Bouman,,,2499725,http://www.nfl.com/player/toddbouman/2499725/profi...,,,236,15
00-0001563,07/03/1977,Western Illinois,David,David Bowens,00-0001563,D.Bowens,75,Bowens,,,2499731,http://www.nfl.com/player/davidbowens/2499731/prof...,,,265,12
00-0001820,10/30/1975,Georgia Tech,Keith,Keith Brooking,00-0001820,K.Brooking,74,Brooking,,,2499799,http://www.nfl.com/player/keithbrooking/2499799/pr...,,,240,15
00-0001980,12/23/1976,Nebraska,Kris,Kris Brown,00-0001980,K.Brown,71,Brown,,,2499851,http://www.nfl.com/player/krisbrown/2499851/profil...,,,215,12
00-0002099,11/10/1972,Memphis,Isaac,Isaac Bruce,00-0002099,I.Bruce,72,Bruce,,,2499879,http://www.nfl.com/player/isaacbruce/2499879/profi...,,,188,16
00-0002110,9/17/1970,Washington,Mark,Mark Brunell,00-0002110,M.Brunell,73,Brunell,,,2499883,http://www.nfl.com/player/markbrunell/2499883/prof...,,,215,19
00-0002123,06/09/1973,Arizona,Tedy,Tedy Bruschi,00-0002123,T.Bruschi,73,Bruschi,,,2499884,http://www.nfl.com/player/tedybruschi/2499884/prof...,,,247,14
00-0002655,4/20/1964,Notre Dame,John,John Carney,00-0002655,J.Carney,71,Carney,,,2499991,http://www.nfl.com/player/johncarney/2499991/profi...,,,185,23
00-0003035,4/20/1977,Wake Forest,Desmond,Desmond Clark,00-0003035,D.Clark,75,Clark,,,2500080,http://www.nfl.com/player/desmondclark/2500080/pro...,,,249,13
00-0003239,8/16/1976,East Carolina,Rod,Rod Coleman,00-0003239,R.Coleman,74,Coleman,,,2500137,http://www.nfl.com/player/rodcoleman/2500137/profi...,,,285,10
00-0003292,12/30/1972,Penn State,Kerry,Kerry Collins,00-0003292,K.Collins,77,Collins,,,2500150,http://www.nfl.com/player/kerrycollins/2500150/pro...,,,247,17
00-0003315,11/05/1971,Michigan,Todd,Todd Collins,00-0003315,T.Collins,76,Collins,,,2500157,http://www.nfl.com/player/toddcollins/2500157/prof...,,,223,16
00-0003739,1/28/1977,Central Florida,Daunte,Daunte Culpepper,00-0003739,D.Culpepper,76,Culpepper,,,2500249,http://www.nfl.com/player/daunteculpepper/2500249/...,,,260,11
00-0003874,03/04/1973,Georgia,Phillip,Phillip Daniels,00-0003874,P.Daniels,77,Daniels,,,2500287,http://www.nfl.com/player/phillipdaniels/2500287/p...,,,302,15
00-0003888,10/22/1975,South Carolina State,Chartric,Chartric Darby,00-0003888,C.Darby,72,Darby,,,2500291,http://www.nfl.com/player/chartricdarby/2500291/pr...,,,302,9
00-0004073,10/13/1973,Clemson,Brian,Brian Dawkins,00-0004073,B.Dawkins,72,Dawkins,,,2500343,http://www.nfl.com/player/briandawkins/2500343/pro...,,,210,16
00-0004091,1/23/1975,Texas,Phil,Phil Dawson,00-0004091,P.Dawson,71,Dawson,4,K,2500351,http://www.nfl.com/player/phildawson/2500351/profi...,ACT,ARI,200,19
00-0004112,1/22/1976,Tarleton State,James,James Dearth,00-0004112,J.Dearth,76,Dearth,,,2500355,http://www.nfl.com/player/jamesdearth/2500355/prof...,,,265,12
00-0004161,01/10/1975,Louisiana-Lafayette,Jake,Jake Delhomme,00-0004161,J.Delhomme,74,Delhomme,,,2500361,http://www.nfl.com/player/jakedelhomme/2500361/pro...,,,215,14
00-0004472,3/15/1977,Howard,Marques,Marques Douglas,00-0004472,M.Douglas,74,Douglas,,,2500445,http://www.nfl.com/player/marquesdouglas/2500445/p...,,,290,12
00-0004505,2/26/1976,Stanford,Chris,Chris Draft,00-0004505,C.Draft,71,Draft,,,2500456,http://www.nfl.com/player/chrisdraft/2500456/profi...,,,234,13
00-0004541,02/02/1975,Alcorn State,Donald,Donald Driver,00-0004541,D.Driver,72,Driver,,,2500467,http://www.nfl.com/player/donalddriver/2500467/pro...,,,194,14
00-0004811,03/08/1970,Hawaii,Jason,Jason Elam,00-0004811,J.Elam,71,Elam,,,2500527,http://www.nfl.com/player/jasonelam/2500527/profil...,,,195,17
00-0004851,8/14/1975,North Carolina,Greg,Greg Ellis,00-0004851,G.Ellis,78,Ellis,,,2500538,http://www.nfl.com/player/gregellis/2500538/profil...,,,265,12
00-0004915,01/07/1973,Penn State,Bobby,Bobby Engram,00-0004915,B.Engram,70,Engram,,,2500556,http://www.nfl.com/player/bobbyengram/2500556/prof...,,,192,15
00-0005058,12/07/1976,LSU,Alan,Alan Faneca,00-0005058,A.Faneca,77,Faneca,,,2500587,http://www.nfl.com/player/alanfaneca/2500587/profi...,,,316,13
00-0005082,01/06/1975,Virginia,James,James Farrior,00-0005082,J.Farrior,74,Farrior,,,2500597,http://www.nfl.com/player/jamesfarrior/2500597/pro...,,,243,15
00-0005091,06/05/1976,LSU,Kevin,Kevin Faulk,00-0005091,K.Faulk,68,Faulk,,,2500600,http://www.nfl.com/player/kevinfaulk/2500600/profi...,,,202,13
00-0005106,10/10/1969,Southern Mississippi,Brett,Brett Favre,00-0005106,B.Favre,74,Favre,,,2500606,http://www.nfl.com/player/brettfavre/2500606/profi...,,,222,20
00-0005113,03/07/1966,Miami (Fla.),Jeff,Jeff Feagles,00-0005113,J.Feagles,73,Feagles,,,2500608,http://www.nfl.com/player/jefffeagles/2500608/prof...,,,215,22
00-0005150,11/28/1974,Georgia,Jason,Jason Ferguson,00-0005150,J.Ferguson,75,Ferguson,,,2500613,http://www.nfl.com/player/jasonferguson/2500613/pr...,,,310,13
00-0005155,11/27/1974,Georgia Tech,Nick,Nick Ferguson,00-0005155,N.Ferguson,71,Ferguson,,,2500614,http://www.nfl.com/player/nickferguson/2500614/pro...,,,204,10
00-0005231,1/31/1976,Villanova,Brian,Brian Finneran,00-0005231,B.Finneran,77,Finneran,,,2500634,http://www.nfl.com/player/brianfinneran/2500634/pr...,,,210,12
00-0005322,5/19/1975,John Carroll,London,London Fletcher,00-0005322,L.Fletcher,70,Fletcher,59,,2500650,http://www.nfl.com/player/londonfletcher/2500650/p...,,,242,16
00-0005720,11/20/1971,Ohio State,Joey,Joey Galloway,00-0005720,J.Galloway,71,Galloway,,,2500744,http://www.nfl.com/player/joeygalloway/2500744/pro...,,,197,16
00-0005755,2/24/1970,San Jose State,Jeff,Jeff Garcia,00-0005755,J.Garcia,73,Garcia,,,2500758,http://www.nfl.com/player/jeffgarcia/2500758/profi...,,,205,12
00-0006072,01/06/1976,Iowa,Mike,Mike Goff,00-0006072,M.Goff,77,Goff,,,2500827,http://www.nfl.com/player/mikegoff/2500827/profile,,,311,12
00-0006101,2/27/1976,California,Tony,Tony Gonzalez,00-0006101,T.Gonzalez,77,Gonzalez,88,,2500835,http://www.nfl.com/player/tonygonzalez/2500835/pro...,,,247,17
00-0006305,2/16/1977,Nebraska,Ahman,Ahman Green,00-0006305,A.Green,72,Green,,,2500887,http://www.nfl.com/player/ahmangreen/2500887/profi...,,,218,12
00-0006398,11/01/1976,Oklahoma,Kelly,Kelly Gregg,00-0006398,K.Gregg,72,Gregg,,,2500916,http://www.nfl.com/player/kellygregg/2500916/profi...,,,320,13
00-0006799,10/25/1976,Marshall,Chris,Chris Hanson,00-0006799,C.Hanson,74,Hanson,,,2501015,http://www.nfl.com/player/chrishanson/2501015/prof...,,,202,11
00-0006800,6/17/1970,Washington State,Jason,Jason Hanson,00-0006800,J.Hanson,72,Hanson,,,2501016,http://www.nfl.com/player/jasonhanson/2501016/prof...,,,190,21
00-0006915,12/07/1974,Texas A&M; - Kingsville,Al,Al Harris,00-0006915,A.Harris,73,Harris,,,2501037,http://www.nfl.com/player/alharris/2501037/profile,,,194,14
00-0007091,9/25/1975,Boston College,Matt,Matt Hasselbeck,00-0007091,M.Hasselbeck,76,Hasselbeck,8,,2501078,http://www.nfl.com/player/matthasselbeck/2501078/p...,,,235,17
00-0007213,9/21/1976,South Dakota State,Steve,Steve Heiden,00-0007213,S.Heiden,77,Heiden,,,2501111,http://www.nfl.com/player/steveheiden/2501111/prof...,,,270,11
00-0007308,5/18/1971,Notre Dame,Craig,Craig Hentrich,00-0007308,C.Hentrich,75,Hentrich,,,2501132,http://www.nfl.com/player/craighentrich/2501132/pr...,,,213,17
00-0007611,12/11/1975,North Carolina,Vonnie,Vonnie Holliday,00-0007611,V.Holliday,77,Holliday,,,2501208,http://www.nfl.com/player/vonnieholliday/2501208/p...,,,288,15
00-0007681,06/05/1976,North Carolina State,Torry,Torry Holt,00-0007681,T.Holt,72,Holt,,,2501229,http://www.nfl.com/player/torryholt/2501229/profil...,,,200,12
00-0007835,07/09/1973,Washington,Damon,Damon Huard,00-0007835,D.Huard,75,Huard,,,2501258,http://www.nfl.com/player/damonhuard/2501258/profi...,,,218,13
00-0008075,9/26/1974,Rice,Larry,Larry Izzo,00-0008075,L.Izzo,70,Izzo,,,2501313,http://www.nfl.com/player/larryizzo/2501313/profil...,,,225,14
00-0008124,1/21/1973,Knoxville,Grady,Grady Jackson,00-0008124,G.Jackson,74,Jackson,,,2501324,http://www.nfl.com/player/gradyjackson/2501324/pro...,,,345,13
00-0008241,08/01/1978,Miami (Fla.),Edgerrin,Edgerrin James,00-0008241,E.James,72,James,,,2501355,http://www.nfl.com/player/edgerrinjames/2501355/pr...,,,219,11
00-0008271,1/28/1976,Michigan,Jon,Jon Jansen,00-0008271,J.Jansen,78,Jansen,,,2501362,http://www.nfl.com/player/jonjansen/2501362/profil...,,,305,12
00-0008484,06/01/1975,Northern Colorado,Dirk,Dirk Johnson,00-0008484,D.Johnson,72,Johnson,,,2501418,http://www.nfl.com/player/dirkjohnson/2501418/prof...,,,210,8
00-0009028,10/27/1969,Georgia,John,John Kasay,00-0009028,J.Kasay,70,Kasay,,,2501563,http://www.nfl.com/player/johnkasay/2501563/profil...,,,210,22
00-0009056,09/03/1976,Florida,Jevon,Jevon Kearse,00-0009056,J.Kearse,76,Kearse,,,2501571,http://www.nfl.com/player/jevonkearse/2501571/prof...,,,265,11
00-0009119,2/22/1977,Mississippi State,Reggie,Reggie Kelly,00-0009119,R.Kelly,76,Kelly,,,2501583,http://www.nfl.com/player/reggiekelly/2501583/prof...,,,257,12
00-0009173,12/30/1976,Virginia,Patrick,Patrick Kerney,00-0009173,P.Kerney,77,Kerney,,,2501602,http://www.nfl.com/player/patrickkerney/2501602/pr...,,,272,11
00-0009305,09/06/1974,UCLA,Travis,Travis Kirschke,00-0009305,T.Kirschke,75,Kirschke,,,2501628,http://www.nfl.com/player/traviskirschke/2501628/p...,,,298,13
00-0009311,9/21/1972,Central Washington,Jon,Jon Kitna,00-0009311,J.Kitna,74,Kitna,3,,2501630,http://www.nfl.com/player/jonkitna/2501630/profile,,,220,16
00-0009323,1/31/1977,North Dakota,Jimmy,Jimmy Kleinsasser,00-0009323,J.Kleinsasser,75,Kleinsasser,,,2501633,http://www.nfl.com/player/jimmykleinsasser/2501633...,,,272,13
00-0009472,06/09/1977,Washington,Olin,Olin Kreutz,00-0009472,O.Kreutz,74,Kreutz,,,2501660,http://www.nfl.com/player/olinkreutz/2501660/profi...,,,292,14
00-0009530,05/12/1972,Arizona State,Jason,Jason Kyle,00-0009530,J.Kyle,75,Kyle,,,2501669,http://www.nfl.com/player/jasonkyle/2501669/profil...,,,242,16
00-0009687,02/10/1974,Michigan,Ty,Ty Law,00-0009687,T.Law,71,Law,,,2501705,http://www.nfl.com/player/tylaw/2501705/profile,,,200,15
00-0009889,5/15/1975,Miami (Fla.),Ray,Ray Lewis,00-0009889,R.Lewis,73,Lewis,,,2501750,http://www.nfl.com/player/raylewis/2501750/profile,,,240,17
00-0009978,10/19/1974,Tennessee,Leonard,Leonard Little,00-0009978,L.Little,75,Little,,,2501771,http://www.nfl.com/player/leonardlittle/2501771/pr...,,,267,12
00-0010072,8/16/1974,California,Ryan,Ryan Longwell,00-0010072,R.Longwell,72,Longwell,,,2501792,http://www.nfl.com/player/ryanlongwell/2501792/pro...,,,200,16
00-0010341,4/18/1975,Duke,Patrick,Patrick Mannelly,00-0010341,P.Mannelly,77,Mannelly,65,,2501861,http://www.nfl.com/player/patrickmannelly/2501861/...,,,265,16
00-0010346,3/24/1976,Tennessee,Peyton,Peyton Manning,00-0010346,P.Manning,77,Manning,18,,2501863,http://www.nfl.com/player/peytonmanning/2501863/pr...,,,230,18
00-0010373,06/06/1973,Syracuse,Olindo,Olindo Mare,00-0010373,O.Mare,71,Mare,,,2501868,http://www.nfl.com/player/olindomare/2501868/profi...,,,185,16
00-0010500,1/17/1974,Michigan State,Derrick,Derrick Mason,00-0010500,D.Mason,70,Mason,,,2501898,http://www.nfl.com/player/derrickmason/2501898/pro...,,,197,15
00-0010577,1/23/1971,LSU,Kevin,Kevin Mawae,00-0010577,K.Mawae,76,Mawae,,,2501917,http://www.nfl.com/player/kevinmawae/2501917/profi...,,,289,16
00-0010609,02/09/1974,Ball State,Brad,Brad Maynard,00-0010609,B.Maynard,73,Maynard,,,2501931,http://www.nfl.com/player/bradmaynard/2501931/prof...,,,188,15
00-0010634,6/14/1977,Arizona,Chris,Chris McAlister,00-0010634,C.McAlister,73,McAlister,,,2501936,http://www.nfl.com/player/chrismcalister/2501936/p...,,,210,11
00-0010711,2/16/1977,LSU,Todd,Todd McClure,00-0010711,T.McClure,73,McClure,,,2501951,http://www.nfl.com/player/toddmcclure/2501951/prof...,,,296,14
00-0010944,4/26/1976,Memphis,Mike,Mike McKenzie,00-0010944,M.McKenzie,72,McKenzie,,,2502019,http://www.nfl.com/player/mikemckenzie/2502019/pro...,,,194,11
00-0011022,11/25/1976,Syracuse,Donovan,Donovan McNabb,00-0011022,D.McNabb,74,McNabb,,,2502044,http://www.nfl.com/player/donovanmcnabb/2502044/pr...,,,240,13
00-0011236,4/24/1977,USC,Billy,Billy Miller,00-0011236,B.Miller,75,Miller,,,2502096,http://www.nfl.com/player/billymiller/2502096/prof...,,,252,9
00-0011326,11/14/1973,Washington,Lawyer,Lawyer Milloy,00-0011326,L.Milloy,72,Milloy,,,2502115,http://www.nfl.com/player/lawyermilloy/2502115/pro...,,,211,15
00-0011626,02/05/1976,Pittsburg State,Brian,Brian Moorman,00-0011626,B.Moorman,72,Moorman,8,,2502195,http://www.nfl.com/player/brianmoorman/2502195/pro...,,,174,14
00-0011641,2/26/1976,Brown,Sean,Sean Morey,00-0011641,S.Morey,71,Morey,,,2502200,http://www.nfl.com/player/seanmorey/2502200/profil...,,,193,9
00-0011754,2/13/1977,Marshall,Randy,Randy Moss,00-0011754,R.Moss,76,Moss,,,2502220,http://www.nfl.com/player/randymoss/2502220/profil...,,,210,14
00-0011795,05/05/1973,Michigan State,Muhsin,Muhsin Muhammad,00-0011795,M.Muhammad,74,Muhammad,,,2502231,http://www.nfl.com/player/muhsinmuhammad/2502231/p...,,,215,14
00-0011958,12/27/1970,Fresno State,Lorenzo,Lorenzo Neal,00-0011958,L.Neal,71,Neal,,,2502265,http://www.nfl.com/player/lorenzoneal/2502265/prof...,,,255,17
00-0011970,3/22/1973,San Jose State,Joe,Joe Nedney,00-0011970,J.Nedney,77,Nedney,,,2502269,http://www.nfl.com/player/joenedney/2502269/profil...,,,220,15
00-0012023,12/17/1976,South Carolina,Jamar,Jamar Nesbit,00-0012023,J.Nesbit,76,Nesbit,,,2502276,http://www.nfl.com/player/jamarnesbit/2502276/prof...,,,328,11
00-0012333,3/27/1976,Purdue,Chike,Chike Okeafor,00-0012333,C.Okeafor,77,Okeafor,,,2502348,http://www.nfl.com/player/chikeokeafor/2502348/pro...,,,256,11
00-0012478,12/07/1973,Tennessee-Chattanooga,Terrell,Terrell Owens,00-0012478,T.Owens,75,Owens,,,2502377,http://www.nfl.com/player/terrellowens/2502377/pro...,,,224,16
00-0012485,11/04/1975,Ohio State,Orlando,Orlando Pace,00-0012485,O.Pace,79,Pace,,,2502379,http://www.nfl.com/player/orlandopace/2502379/prof...,,,325,13
00-0012642,8/19/1974,Western Carolina,David,David Patten,00-0012642,D.Patten,70,Patten,,,2502419,http://www.nfl.com/player/davidpatten/2502419/prof...,,,190,13
00-0012871,6/17/1976,Florida,Mike,Mike Peterson,00-0012871,M.Peterson,73,Peterson,,,2502462,http://www.nfl.com/player/mikepeterson/2502462/pro...,,,226,14
00-0013126,3/22/1977,Colorado State,Joey,Joey Porter,00-0013126,J.Porter,75,Porter,,,2502516,http://www.nfl.com/player/joeyporter/2502516/profi...,,,248,13
00-0013255,08/06/1977,Virginia Tech,Pierson,Pierson Prioleau,00-0013255,P.Prioleau,71,Prioleau,,,2502549,http://www.nfl.com/player/piersonprioleau/2502549/...,,,188,13
00-0013282,08/03/1975,Clemson,Trevor,Trevor Pryce,00-0013282,T.Pryce,77,Pryce,,,2502561,http://www.nfl.com/player/trevorpryce/2502561/prof...,,,290,14
00-0013694,12/17/1971,Auburn,Tony,Tony Richardson,00-0013694,T.Richardson,73,Richardson,,,2502655,http://www.nfl.com/player/tonyrichardson/2502655/p...,,,240,16
00-0013845,6/22/1974,Fresno State,Bryan,Bryan Robinson,00-0013845,B.Robinson,76,Robinson,,,2502697,http://www.nfl.com/player/bryanrobinson/2502697/pr...,,,305,14
00-0014063,9/27/1974,Iowa State,Oliver,Oliver Ross,00-0014063,O.Ross,77,Ross,,,2502749,http://www.nfl.com/player/oliverross/2502749/profi...,,,315,12
00-0014071,10/22/1975,Notre Dame,Allen,Allen Rossum,00-0014071,A.Rossum,68,Rossum,,,2502751,http://www.nfl.com/player/allenrossum/2502751/prof...,,,178,12
00-0014255,6/19/1976,San Diego State,Ephraim,Ephraim Salaam,00-0014255,E.Salaam,79,Salaam,,,2502803,http://www.nfl.com/player/ephraimsalaam/2502803/pr...,,,310,13
00-0014375,6/18/1975,North Carolina,Jeff,Jeff Saturday,00-0014375,J.Saturday,74,Saturday,,,2502838,http://www.nfl.com/player/jeffsaturday/2502838/pro...,,,295,14
00-0014619,1/19/1969,USC,Junior,Junior Seau,00-0014619,J.Seau,75,Seau,,,2502886,http://www.nfl.com/player/juniorseau/2502886/profi...,,,250,20
00-0014655,7/21/1975,Walla Walla CC WA,Mike,Mike Sellers,00-0014655,M.Sellers,75,Sellers,,,2502894,http://www.nfl.com/player/mikesellers/2502894/prof...,,,272,12
00-0014724,11/03/1975,William & Mary,Darren,Darren Sharper,00-0014724,D.Sharper,74,Sharper,,,2502908,http://www.nfl.com/player/darrensharper/2502908/pr...,,,210,14
00-0015080,4/19/1976,Northern Colorado,Aaron,Aaron Smith,00-0015080,A.Smith,77,Smith,,,2502994,http://www.nfl.com/player/aaronsmith/2502994/profi...,,,298,13
00-0015194,08/09/1977,Notre Dame,Hunter,Hunter Smith,00-0015194,H.Smith,74,Smith,,,2503023,http://www.nfl.com/player/huntersmith/2503023/prof...,,,209,12
00-0015468,8/18/1975,Saginaw Valley State,Paul,Paul Spicer,00-0015468,P.Spicer,76,Spicer,,,2503082,http://www.nfl.com/player/paulspicer/2503082/profi...,,,295,11
00-0015474,12/17/1976,Auburn,Takeo,Takeo Spikes,00-0015474,T.Spikes,74,Spikes,,,2503086,http://www.nfl.com/player/takeospikes/2503086/prof...,,,242,15
00-0015495,03/11/1975,Ohio State,Shawn,Shawn Springs,00-0015495,S.Springs,72,Springs,,,2503093,http://www.nfl.com/player/shawnsprings/2503093/pro...,,,204,13
00-0015601,11/13/1975,Western Illinois,Aaron,Aaron Stecker,00-0015601,A.Stecker,70,Stecker,,,2503119,http://www.nfl.com/player/aaronstecker/2503119/pro...,,,213,10
00-0015754,6/23/1976,Louisiana-Lafayette,Brandon,Brandon Stokley,00-0015754,B.Stokley,72,Stokley,80,,2503158,http://www.nfl.com/player/brandonstokley/2503158/p...,,,194,16
00-0015784,1/27/1968,Louisiana Tech,Matt,Matt Stover,00-0015784,M.Stover,71,Stover,,,2503167,http://www.nfl.com/player/mattstover/2503167/profi...,,,180,19
00-0016098,1/27/1976,Florida,Fred,Fred Taylor,00-0016098,F.Taylor,73,Taylor,,,2503256,http://www.nfl.com/player/fredtaylor/2503256/profi...,,,228,13
00-0016112,09/01/1974,Akron,Jason,Jason Taylor,00-0016112,J.Taylor,78,Taylor,,,2503259,http://www.nfl.com/player/jasontaylor/2503259/prof...,,,244,15
00-0016271,01/10/1974,Northern Illinois,Hollis,Hollis Thomas,00-0016271,H.Thomas,72,Thomas,,,2503307,http://www.nfl.com/player/hollisthomas/2503307/pro...,,,340,14
00-0016334,11/20/1974,Florida State,Tra,Tra Thomas,00-0016334,T.Thomas,79,Thomas,,,2503326,http://www.nfl.com/player/trathomas/2503326/profil...,,,316,13
00-0016550,09/08/1974,Michigan,Amani,Amani Toomer,00-0016550,A.Toomer,75,Toomer,,,2503377,http://www.nfl.com/player/amanitoomer/2503377/prof...,,,203,14
00-0016577,09/08/1975,Alabama,Deshea,Deshea Townsend,00-0016577,D.Townsend,70,Townsend,,,2503384,http://www.nfl.com/player/desheatownsend/2503384/p...,,,190,13
00-0016624,1/20/1977,Stephen F. Austin St.,Jeremiah,Jeremiah Trotter,00-0016624,J.Trotter,73,Trotter,,,2503394,http://www.nfl.com/player/jeremiahtrotter/2503394/...,,,262,11
00-0016689,6/16/1968,Wis.-Whitewater,Matt,Matt Turk,00-0016689,M.Turk,77,Turk,,,2503416,http://www.nfl.com/player/mattturk/2503416/profile,,,251,17
00-0016919,12/28/1972,South Dakota State,Adam,Adam Vinatieri,00-0016919,A.Vinatieri,72,Vinatieri,4,K,2503471,http://www.nfl.com/player/adamvinatieri/2503471/pr...,ACT,IND,212,22
00-0016960,8/14/1975,Ohio State,Mike,Mike Vrabel,00-0016960,M.Vrabel,76,Vrabel,,,2503480,http://www.nfl.com/player/mikevrabel/2503480/profi...,,,261,14
00-0017162,03/08/1976,Georgia,Hines,Hines Ward,00-0017162,H.Ward,72,Ward,,,2503532,http://www.nfl.com/player/hinesward/2503532/profil...,,,205,14
00-0017200,6/22/1971,Northern Iowa,Kurt,Kurt Warner,00-0017200,K.Warner,74,Warner,,,2503540,http://www.nfl.com/player/kurtwarner/2503540/profi...,,,214,12
00-0017638,7/20/1973,Iowa,Casey,Casey Wiegmann,00-0017638,C.Wiegmann,74,Wiegmann,,,2503642,http://www.nfl.com/player/caseywiegmann/2503642/pr...,,,285,16
00-0017813,4/28/1976,Oklahoma State,Jamal,Jamal Williams,00-0017813,Ja.Williams,75,Williams,,,2503690,http://www.nfl.com/player/jamalwilliams/2503690/pr...,,,348,13
00-0017899,10/24/1972,Texas A&M;,Pat,Pat Williams,00-0017899,P.Williams,75,Williams,,,2503712,http://www.nfl.com/player/patwilliams/2503712/prof...,,,317,14
00-0017915,5/21/1977,Texas,Ricky,Ricky Williams,00-0017915,R.Williams,70,Williams,,,2503715,http://www.nfl.com/player/rickywilliams/2503715/pr...,,,230,12
00-0018093,6/24/1977,Ohio State,Antoine,Antoine Winfield,00-0018093,A.Winfield,69,Winfield,,,2503765,http://www.nfl.com/player/antoinewinfield/2503765/...,,,180,15
00-0018227,10/07/1976,Michigan,Charles,Charles Woodson,00-0018227,C.Woodson,73,Woodson,24,,2503797,http://www.nfl.com/player/charleswoodson/2503797/p...,,,210,18
00-0018234,11/03/1977,Boston College,Damien,Damien Woody,00-0018234,D.Woody,75,Woody,,,2503801,http://www.nfl.com/player/damienwoody/2503801/prof...,,,327,12
00-0018351,09/03/1974,Notre Dame,Renaldo,Renaldo Wynn,00-0018351,R.Wynn,75,Wynn,,,2503828,http://www.nfl.com/player/renaldowynn/2503828/prof...,,,280,13
00-0018486,03/09/1976,Wake Forest,Joe,Joe Zelenka,00-0018486,J.Zelenka,75,Zelenka,,,2503853,http://www.nfl.com/player/joezelenka/2503853/profi...,,,266,14
00-0018503,5/24/1970,Purdue,Jeff,Jeff Zgonina,00-0018503,J.Zgonina,74,Zgonina,,,2503859,http://www.nfl.com/player/jeffzgonina/2503859/prof...,,,285,17
00-0018584,2/18/1977,North Texas,Brian,Brian Waters,00-0018584,B.Waters,75,Waters,64,,2503872,http://www.nfl.com/player/brianwaters/2503872/prof...,,,320,13
00-0018605,3/21/1977,Oklahoma,Corey,Corey Ivy,00-0018605,C.Ivy,69,Ivy,,,2503881,http://www.nfl.com/player/coreyivy/2503881/profile,,,190,10
00-0018613,8/25/1976,Central Florida,Cornell,Cornell Green,00-0018613,C.Green,78,Green,,,2503884,http://www.nfl.com/player/cornellgreen/2503884/pro...,,,315,11
00-0018925,12/01/1974,Utah,Barry,Barry Sims,00-0018925,B.Sims,77,Sims,,,2503888,http://www.nfl.com/player/barrysims/2503888/profil...,,,300,12
00-0018926,08/04/1977,Wisconsin,Mike,Mike Schneck,00-0018926,M.Schneck,73,Schneck,,,2503889,http://www.nfl.com/player/mikeschneck/2503889/prof...,,,231,11
00-0018956,3/23/1977,Northern Iowa,Brad,Brad Meester,00-0018956,B.Meester,75,Meester,63,,2503900,http://www.nfl.com/player/bradmeester/2503900/prof...,,,292,14
