|,|__birthdate,|__college,|__first_name,|__full_name,|__gsis_id,|__gsis_name,|__height,|__last_name,|__number,|__position,|__profile_id,|__profile_url,|__status,|__team,|__weight,|__years_pro
00-0020498,11/17/1978,Miami (Fla.),Reggie,Reggie Wayne,00-0020498,R.Wayne,72,Wayne,87,,2504747,http://www.nfl.com/player/reggiewayne/2504747/prof...,,,203,14
00-0020499,1/23/1979,Mississippi,Ken,Ken Lucas,00-0020499,K.Lucas,72,Lucas,,,2504748,http://www.nfl.com/player/kenlucas/2504748/profile,,,205,9
00-0020504,08/12/1978,Mississippi,Derrick,Derrick Burgess,00-0020504,D.Burgess,74,Burgess,,,2504753,http://www.nfl.com/player/derrickburgess/2504753/p...,,,255,10
00-0020505,10/12/1979,North Carolina State,Adrian,Adrian Wilson,00-0020505,A.Wilson,75,Wilson,44,,2504754,http://www.nfl.com/player/adrianwilson/2504754/pro...,,,230,14
00-0020506,09/08/1977,Alabama,Kenny,Kenny Smith,00-0020506,Ke.Smith,76,Smith,,,2504755,http://www.nfl.com/player/kennysmith/2504755/profi...,,,303,7
00-0020507,12/30/1978,Auburn,Heath,Heath Evans,00-0020507,H.Evans,72,Evans,,,2504756,http://www.nfl.com/player/heathevans/2504756/profi...,,,250,10
00-0020508,6/16/1978,Kansas,Moran,Moran Norris,00-0020508,M.Norris,73,Norris,,,2504757,http://www.nfl.com/player/morannorris/2504757/prof...,,,250,12
00-0020514,8/13/1978,Wisconsin,Michael,Michael Bennett,00-0020514,M.Bennett,69,Bennett,,,2504762,http://www.nfl.com/player/michaelbennett/2504762/p...,,,205,11
00-0020515,10/08/1979,Ohio State,Ryan,Ryan Pickett,00-0020515,R.Pickett,74,Pickett,94,,2504763,http://www.nfl.com/player/ryanpickett/2504763/prof...,,,340,14
00-0020516,3/16/1980,Arizona State,Todd,Todd Heap,00-0020516,T.Heap,77,Heap,,,2504764,http://www.nfl.com/player/toddheap/2504764/profile,,,252,12
00-0020522,4/17/1979,Mississippi State,Fred,Fred Smoot,00-0020522,F.Smoot,71,Smoot,,,2504770,http://www.nfl.com/player/fredsmoot/2504770/profil...,,,185,9
00-0020524,7/25/1978,Florida,Gerard,Gerard Warren,00-0020524,G.Warren,76,Warren,,,2504771,http://www.nfl.com/player/gerardwarren/2504771/pro...,,,330,11
00-0020528,03/12/1979,Texas,Shaun,Shaun Rogers,00-0020528,S.Rogers,76,Rogers,95,,2504774,http://www.nfl.com/player/shaunrogers/2504774/prof...,,,350,13
00-0020531,1/15/1979,Purdue,Drew,Drew Brees,00-0020531,D.Brees,72,Brees,9,QB,2504775,http://www.nfl.com/player/drewbrees/2504775/profil...,ACT,NO,209,17
00-0020533,09/05/1978,Texas,Leonard,Leonard Davis,00-0020533,L.Davis,78,Davis,,,2504776,http://www.nfl.com/player/leonarddavis/2504776/pro...,,,355,12
00-0020535,9/30/1979,Missouri,Justin,Justin Smith,00-0020535,J.Smith,76,Smith,94,,2504777,http://www.nfl.com/player/justinsmith/2504777/prof...,,,285,15
00-0020536,6/23/1979,Texas Christian,LaDainian,LaDainian Tomlinson,00-0020536,L.Tomlinson,70,Tomlinson,,,2504778,http://www.nfl.com/player/ladainiantomlinson/25047...,,,215,11
00-0020543,6/23/1978,Purdue,Matt,Matt Light,00-0020543,M.Light,76,Light,,,2504784,http://www.nfl.com/player/mattlight/2504784/profil...,,,305,11
00-0020550,1/20/1977,Pittsburgh,Darnell,Darnell Dinkins,00-0020550,D.Dinkins,76,Dinkins,,,2504787,http://www.nfl.com/player/darnelldinkins/2504787/p...,,,260,8
00-0020571,7/20/1977,Central Florida CC,Clinton,Clinton Hart,00-0020571,C.Hart,72,Hart,,,2504794,http://www.nfl.com/player/clintonhart/2504794/prof...,,,208,7
00-0020578,5/29/1975,Baylor,Matt,Matt Bryant,00-0020578,M.Bryant,69,Bryant,3,K,2504797,http://www.nfl.com/player/mattbryant/2504797/profi...,ACT,ATL,203,16
00-0020608,7/21/1979,Fresno State,David,David Carr,00-0020608,D.Carr,75,Carr,,,2504804,http://www.nfl.com/player/davidcarr/2504804/profil...,,,212,12
00-0020653,10/22/1978,Grambling State,Kalvin,Kalvin Pearson,00-0020653,K.Pearson,70,Pearson,,,2504821,http://www.nfl.com/player/kalvinpearson/2504821/pr...,,,200,6
00-0020664,1/16/1979,Oklahoma,Brandon,Brandon Moore,00-0020664,B.Moore,73,Moore,,,2504825,http://www.nfl.com/player/brandonmoore/2504825/pro...,,,240,8
00-0020678,10/09/1980,Louisiana-Lafayette,Kyries,Kyries Hebert,00-0020678,K.Hebert,75,Hebert,,,2504832,http://www.nfl.com/player/kyrieshebert/2504832/pro...,,,222,4
00-0020679,01/09/1980,Maryland,Shaun,Shaun Hill,00-0020679,S.Hill,75,Hill,13,,2504833,http://www.nfl.com/player/shaunhill/2504833/profil...,,,230,15
00-0020712,05/04/1978,Kent State,James,James Harrison,00-0020712,J.Harrison,72,Harrison,92,OLB,2504844,http://www.nfl.com/player/jamesharrison/2504844/pr...,ACT,PIT,242,15
00-0020737,04/09/1979,North Carolina,Jeff,Jeff Reed,00-0020737,J.Reed,71,Reed,,,2504853,http://www.nfl.com/player/jeffreed/2504853/profile,,,225,10
00-0020754,7/23/1980,Georgia Tech,Kelly,Kelly Campbell,00-0020754,K.Campbell,70,Campbell,,,2504858,http://www.nfl.com/player/kellycampbell/2504858/pr...,,,175,4
00-0020801,11/28/1978,Memphis,Artis,Artis Hicks,00-0020801,A.Hicks,76,Hicks,,,2504881,http://www.nfl.com/player/artishicks/2504881/profi...,,,312,11
00-0020804,1/25/1979,West Virginia,Corey,Corey McIntyre,00-0020804,C.McIntyre,72,McIntyre,,,2504882,http://www.nfl.com/player/coreymcintyre/2504882/pr...,,,245,8
00-0020805,5/22/1980,Temple,Jason,Jason McKie,00-0020805,J.McKie,71,McKie,,,2504883,http://www.nfl.com/player/jasonmckie/2504883/profi...,,,250,10
00-0020824,10/09/1979,Fresno State,Vernon,Vernon Fox,00-0020824,V.Fox,70,Fox,,,2504893,http://www.nfl.com/player/vernonfox/2504893/profil...,,,203,8
00-0020840,10/12/1979,LSU,Ryan,Ryan Clark,00-0020840,R.Clark,71,Clark,25,,2504899,http://www.nfl.com/player/ryanclark/2504899/profil...,,,205,14
00-0020867,01/10/1979,Utah,Ma'ake,Ma'ake Kemoeatu,00-0020867,M.Kemoeatu,77,Kemoeatu,,,2504910,http://www.nfl.com/player/ma'akekemoeatu/2504910/p...,,,345,9
00-0020873,8/18/1980,Southern Illinois,Bart,Bart Scott,00-0020873,Ba.Scott,74,Scott,,,2504912,http://www.nfl.com/player/bartscott/2504912/profil...,,,242,11
00-0020962,1/29/1978,Georgia Southern,Rob,Rob Bironas,00-0020962,R.Bironas,72,Bironas,2,,2504934,http://www.nfl.com/player/robbironas/2504934/profi...,,,208,9
00-0020969,06/03/1980,Illinois,Brandon,Brandon Moore,00-0020969,B.Moore,75,Moore,,,2504939,http://www.nfl.com/player/brandonmoore/2504939/pro...,,,305,10
00-0020971,04/04/1979,Bowling Green State,Khary,Khary Campbell,00-0020971,K.Campbell,74,Campbell,,,2504940,http://www.nfl.com/player/kharycampbell/2504940/pr...,,,224,8
00-0020972,3/30/1980,Drake,Billy,Billy Cundiff,00-0020972,B.Cundiff,73,Cundiff,8,,2504941,http://www.nfl.com/player/billycundiff/2504941/pro...,,,212,10
00-0020995,01/08/1979,Texas,D.D.,D.D. Lewis,00-0020995,D.Lewis,73,Lewis,,,2504950,http://www.nfl.com/player/d.d.lewis/2504950/profil...,,,241,8
00-0021064,8/14/1979,New Mexico State,Tony,Tony Wragge,00-0021064,T.Wragge,76,Wragge,,,2504973,http://www.nfl.com/player/tonywragge/2504973/profi...,,,310,9
00-0021081,06/07/1979,Alabama-Birmingham,Bryan,Bryan Thomas,00-0021081,B.Thomas,76,Thomas,,,2504976,http://www.nfl.com/player/bryanthomas/2504976/prof...,,,265,11
00-0021083,09/12/1979,Central Florida,Travis,Travis Fisher,00-0021083,T.Fisher,70,Fisher,,,2504978,http://www.nfl.com/player/travisfisher/2504978/pro...,,,194,9
00-0021085,8/19/1980,Georgia,Will,Will Witherspoon,00-0021085,W.Witherspoon,73,Witherspoon,51,,2504980,http://www.nfl.com/player/willwitherspoon/2504980/...,,,242,12
00-0021092,4/18/1979,Colorado,Justin,Justin Bannan,00-0021092,J.Bannan,75,Bannan,,,2504987,http://www.nfl.com/player/justinbannan/2504987/pro...,,,312,12
00-0021096,07/11/1979,Florida,Marquand,Marquand Manuel,00-0021096,M.Manuel,72,Manuel,,,2504991,http://www.nfl.com/player/marquandmanuel/2504991/p...,,,213,8
00-0021099,01/12/1979,LSU,Howard,Howard Green,00-0021099,H.Green,74,Green,,,2504994,http://www.nfl.com/player/howardgreen/2504994/prof...,,,340,8
00-0021100,1/20/1979,Boise State,Jeb,Jeb Putzier,00-0021100,J.Putzier,76,Putzier,,,2504995,http://www.nfl.com/player/jebputzier/2504995/profi...,,,256,8
00-0021106,03/02/1980,Tulsa,Kevin,Kevin Shaffer,00-0021106,K.Shaffer,77,Shaffer,,,2505001,http://www.nfl.com/player/kevinshaffer/2505001/pro...,,,318,9
00-0021126,5/18/1977,Montana State,Ken,Ken Amato,00-0021126,K.Amato,74,Amato,,,2505005,http://www.nfl.com/player/kenamato/2505005/profile,,,240,9
00-0021140,1/18/1980,North Carolina,Julius,Julius Peppers,00-0021140,J.Peppers,79,Peppers,90,DE,2505010,http://www.nfl.com/player/juliuspeppers/2505010/pr...,ACT,CAR,295,16
00-0021141,10/21/1978,Oregon,Joey,Joey Harrington,00-0021141,J.Harrington,76,Harrington,,,2505011,http://www.nfl.com/player/joeyharrington/2505011/p...,,,210,8
00-0021142,01/11/1980,Texas,Mike,Mike Williams,00-0021142,M.Williams,79,Williams,,,2505012,http://www.nfl.com/player/mikewilliams/2505012/pro...,,,337,7
00-0021143,8/14/1980,Oklahoma,Roy,Roy Williams,00-0021143,R.Williams,72,Williams,,,2505013,http://www.nfl.com/player/roywilliams/2505013/prof...,,,222,9
00-0021144,01/09/1979,Tennessee,John,John Henderson,00-0021144,J.Henderson,79,Henderson,,,2505014,http://www.nfl.com/player/johnhenderson/2505014/pr...,,,335,10
00-0021145,8/24/1979,Arizona State,Levi,Levi Jones,00-0021145,L.Jones,77,Jones,,,2505015,http://www.nfl.com/player/levijones/2505015/profil...,,,307,8
00-0021146,2/19/1980,Syracuse,Dwight,Dwight Freeney,00-0021146,D.Freeney,73,Freeney,93,,2505016,http://www.nfl.com/player/dwightfreeney/2505016/pr...,,,268,15
00-0021147,11/10/1980,Tennessee,Donte',Donte' Stallworth,00-0021147,D.Stallworth,72,Stallworth,,,2505017,http://www.nfl.com/player/donte'stallworth/2505017...,,,200,11
00-0021148,8/18/1980,Miami (Fla.),Jeremy,Jeremy Shockey,00-0021148,J.Shockey,77,Shockey,,,2505018,http://www.nfl.com/player/jeremyshockey/2505018/pr...,,,251,10
00-0021149,6/17/1981,Tennessee,Albert,Albert Haynesworth,00-0021149,A.Haynesworth,78,Haynesworth,,,2505019,http://www.nfl.com/player/alberthaynesworth/250501...,,,350,10
00-0021151,9/19/1980,Miami (Fla.),Phillip,Phillip Buchanon,00-0021151,P.Buchanon,71,Buchanon,,,2505021,http://www.nfl.com/player/phillipbuchanon/2505021/...,,,190,10
00-0021152,2/16/1980,Hawaii,Ashley,Ashley Lelie,00-0021152,A.Lelie,75,Lelie,,,2505022,http://www.nfl.com/player/ashleylelie/2505022/prof...,,,195,8
00-0021153,10/14/1978,Florida State,Javon,Javon Walker,00-0021153,J.Walker,75,Walker,,,2505023,http://www.nfl.com/player/javonwalker/2505023/prof...,,,215,9
00-0021154,11/16/1978,Colorado,Daniel,Daniel Graham,00-0021154,D.Graham,75,Graham,,,2505024,http://www.nfl.com/player/danielgraham/2505024/pro...,,,257,11
00-0021156,09/03/1978,Georgia,Charles,Charles Grant,00-0021156,C.Grant,75,Grant,,,2505026,http://www.nfl.com/player/charlesgrant/2505026/pro...,,,285,9
00-0021157,04/08/1981,Florida,Lito,Lito Sheppard,00-0021157,L.Sheppard,70,Sheppard,,,2505027,http://www.nfl.com/player/litosheppard/2505027/pro...,,,194,10
00-0021159,11/13/1979,Washington,Jerramy,Jerramy Stevens,00-0021159,J.Stevens,79,Stevens,,,2505029,http://www.nfl.com/player/jerramystevens/2505029/p...,,,260,9
00-0021160,10/08/1978,Boston College,Marc,Marc Colombo,00-0021160,M.Colombo,80,Colombo,,,2505030,http://www.nfl.com/player/marccolombo/2505030/prof...,,,320,10
00-0021161,03/11/1979,Auburn,Kendall,Kendall Simmons,00-0021161,K.Simmons,75,Simmons,,,2505031,http://www.nfl.com/player/kendallsimmons/2505031/p...,,,315,8
